ido_ic50,tdo_ic50
138,6.0,5.698970004336019
139,6.698970004336019,5.698970004336019
140,6.698970004336019,6.301029995663981
141,6.698970004336019,5.698970004336019
142,6.698970004336019,6.301029995663981
143,6.698970004336019,6.301029995663981
144,6.698970004336019,6.301029995663981
145,6.698970004336019,6.301029995663981
146,6.698970004336019,5.698970004336019
147,6.0,5.698970004336019
148,6.698970004336019,5.698970004336019
149,6.698970004336019,6.301029995663981
150,6.698970004336019,6.301029995663981
151,6.698970004336019,6.301029995663981
152,6.2076083105017466,4.078469586498757
153,6.698970004336019,6.301029995663981
154,6.0,5.698970004336019
155,6.721246399047171,4.398809467384666
156,6.698970004336019,6.301029995663981
157,6.698970004336019,6.301029995663981
158,6.698970004336019,5.698970004336019
159,6.698970004336019,6.301029995663981
160,6.0,6.301029995663981
161,6.698970004336019,6.301029995663981
162,6.698970004336019,6.301029995663981
163,6.698970004336019,6.301029995663981
164,6.698970004336019,5.698970004336019
165,6.698970004336019,6.301029995663981
166,6.698970004336019,6.301029995663981
167,6.698970004336019,5.698970004336019
168,6.698970004336019,5.698970004336019
169,6.0,5.698970004336019
170,6.698970004336019,6.301029995663981
171,6.698970004336019,6.301029995663981
172,6.0,5.698970004336019
173,6.698970004336019,6.301029995663981
174,6.698970004336019,6.301029995663981
175,6.0,5.698970004336019
176,6.698970004336019,6.301029995663981
177,6.698970004336019,5.698970004336019
178,6.0,6.301029995663981
179,6.698970004336019,5.698970004336019
180,6.698970004336019,6.301029995663981
181,6.698970004336019,6.301029995663981
182,6.698970004336019,6.301029995663981
183,6.698970004336019,6.301029995663981
184,6.0,6.301029995663981
185,6.0,6.301029995663981
186,6.698970004336019,5.698970004336019
187,7.657577319177793,6.492819022739759
188,6.698970004336019,5.698970004336019
189,6.698970004336019,6.301029995663981
190,4.0,4.0
191,6.698970004336019,6.301029995663981
192,6.698970004336019,6.301029995663981
193,6.698970004336019,6.301029995663981
194,6.682145510668531,6.164753460003689
195,6.698970004336019,6.301029995663981
196,6.0,5.698970004336019
197,6.698970004336019,6.301029995663981
198,6.698970004336019,6.301029995663981
199,6.698970004336019,5.698970004336019
200,6.698970004336019,5.698970004336019
201,6.0,6.301029995663981
202,6.698970004336019,6.301029995663981
203,6.698970004336019,6.301029995663981
204,6.698970004336019,6.301029995663981
205,6.698970004336019,5.698970004336019
206,6.698970004336019,6.301029995663981
207,6.698970004336019,6.301029995663981
208,6.0,5.698970004336019
209,6.698970004336019,5.698970004336019
210,6.698970004336019,5.698970004336019
211,6.0,6.301029995663981
212,6.698970004336019,6.301029995663981
213,5.4698003017969175,4.220259248823259
214,6.0,5.698970004336019
215,6.698970004336019,6.301029995663981
216,6.698970004336019,6.301029995663981
217,6.0,5.698970004336019
218,6.698970004336019,6.301029995663981
219,6.0,5.698970004336019
220,6.698970004336019,6.301029995663981
221,6.0,5.698970004336019
222,6.0,5.698970004336019
223,6.0,5.698970004336019
224,6.698970004336019,6.301029995663981
225,6.698970004336019,6.301029995663981
226,6.698970004336019,6.301029995663981
227,6.698970004336019,5.698970004336019
228,6.698970004336019,5.698970004336019
229,6.698970004336019,5.698970004336019
230,6.698970004336019,5.698970004336019
231,6.698970004336019,6.301029995663981
232,6.0,6.301029995663981
233,6.698970004336019,6.301029995663981
234,5.481486060122113,4.0
235,6.698970004336019,6.301029995663981
236,6.698970004336019,6.301029995663981
237,6.698970004336019,6.301029995663981
238,6.698970004336019,5.698970004336019
239,6.698970004336019,5.698970004336019
240,6.698970004336019,5.698970004336019
